loss,mae,val_loss,val_mae
0.02631327137351036,0.11615923792123795,0.005642798263579607,0.06659537553787231
0.008037839084863663,0.0690961480140686,0.002064897445961833,0.036069244146347046
0.006398593075573444,0.06280094385147095,0.0018959562294185162,0.03419046103954315
0.005718886852264404,0.05806270241737366,0.0025518862530589104,0.04186670109629631
0.00508223008364439,0.055544350296258926,0.002464902587234974,0.04088280722498894
0.004757298622280359,0.05266248434782028,0.00425988482311368,0.057964347302913666
0.00459381053224206,0.05199410393834114,0.003389524994418025,0.05046366527676582
0.004660217557102442,0.05346312373876572,0.0016781152226030827,0.031851910054683685
0.004272122867405415,0.050270866602659225,0.0015604790532961488,0.029997460544109344
0.004018782172352076,0.049247004091739655,0.0039499057456851006,0.05606583133339882
0.0038332329131662846,0.048425789922475815,0.0016075553139671683,0.03138178586959839
0.0035258508287370205,0.04544505104422569,0.002885715337470174,0.046295344829559326
0.0031048425007611513,0.04337337613105774,0.002281209919601679,0.04012738913297653
0.0027986865025013685,0.0408150739967823,0.004743546713143587,0.06231960281729698
0.003045538906008005,0.0426974855363369,0.003881339682266116,0.055619314312934875
0.003242806764319539,0.04429039731621742,0.0033991378732025623,0.051199160516262054
0.0028268189635127783,0.04042600467801094,0.0024873598013073206,0.04225844144821167
0.0027855951339006424,0.04117002710700035,0.004146008752286434,0.05786697939038277
0.002751609543338418,0.040081173181533813,0.004487073048949242,0.060402363538742065
