Date,Close,High,Low,Open,Volume
2020-01-02,8.549606323242188,8.549606323242188,8.440995330668402,8.496693302817791,37774500
2020-01-03,8.479985237121582,8.699991140531926,8.479985237121582,8.599734989968818,71595600
2020-01-06,8.580239295959473,8.616443135378297,8.34073930264929,8.47441379163756,81844000
2020-01-07,8.546821594238281,8.599734084866292,8.485553717042333,8.583024905256142,32822000
2020-01-08,8.493907928466797,8.569100027774619,8.4215007807454,8.546820946258434,48215600
2020-01-09,8.466059684753418,8.527327562666677,8.424286469651353,8.485553816389364,36102700
2020-01-10,8.42985725402832,8.47720037773694,8.390868455507789,8.463275617131284,25397500
2020-01-13,8.446566581726074,8.474415572243936,8.413147686869577,8.45213648606471,30676800
2020-01-14,8.35466480255127,8.4298569132563,8.290612499880444,8.418717105222095,39796500
2020-01-15,8.229345321655273,8.335171382327253,8.226560900583937,8.326816525587256,34405700
2020-01-16,8.220991134643555,8.271119213577714,8.168078103415791,8.243270221817033,28997400
2020-01-17,8.31289291381836,8.31289291381836,8.226561512451957,8.276689063094295,34908000
2020-01-20,8.35466480255127,8.382513791461497,8.257193606953114,8.27111836699587,31241400
2020-01-21,8.248839378356934,8.337955718969317,8.229344714069596,8.298966921569932,28577400
2020-01-22,8.156937599182129,8.301751378452176,8.15136769543225,8.279472294627917,32491500
2020-01-23,8.257193565368652,8.287827506133155,8.02604786157583,8.101239971902181,53752100
2020-01-24,8.159720420837402,8.293395428762178,8.115162261920863,8.23212756187057,36898700
2020-01-27,7.806044101715088,7.975921970462287,7.705787927180368,7.97313701770572,66105300
2020-01-28,8.020478248596191,8.11516449514447,7.91465272484092,7.917437676936493,47259100
2020-01-29,8.034401893615723,8.098454189395282,7.984273825205554,8.07617510689912,42297500
2020-01-30,8.059465408325195,8.087314392444117,7.847813872666651,7.875662856785574,44266800
2020-01-31,7.923008441925049,8.031618929575908,7.884019639526379,7.973135991565583,55446700
2020-02-03,7.847815036773682,8.000983675385266,7.842245132888645,7.942501278118203,39452800
2020-02-04,7.973134994506836,8.08731590385076,7.953640861332966,7.978704898606597,57658400
2020-02-05,7.906298637390137,8.137444372047103,7.906298637390138,8.090101244169153,67994500
2020-02-06,8.126304626464844,8.218205924569693,7.831106597881891,7.9926301076169395,126114000
2020-02-07,8.056682586669922,8.17364792595034,8.000984603707693,8.076176721354104,54514600
2020-02-10,8.11237907409668,8.11237907409668,7.975919616353718,8.04554182119249,45328100
2020-02-11,8.209851264953613,8.251624486699054,8.14858390847199,8.187572177944356,37518200
2020-02-12,8.39086627960205,8.432640019411016,8.251621896705949,8.25440684810489,64851000
2020-02-13,8.276686668395996,8.41314611209822,8.254407586386964,8.29061142663615,55277100
2020-02-14,8.193140029907227,8.343523696751069,8.170860948479428,8.31567524334772,30399900
2020-02-17,8.176430702209473,8.290611058837245,8.162505944587068,8.251622268669701,38684900
2020-02-18,8.285041809082031,8.290611712570191,8.062250981307901,8.092884388142323,33890900
2020-02-19,8.507831573486328,8.507831573486328,8.287825724954189,8.318459659134994,44181800
2020-02-20,8.332386016845703,8.602519997271349,8.28504289335097,8.577455959469708,73522900
2020-02-21,8.115164756774902,8.26554898773238,8.084531345086589,8.218205862931914,47805100
2020-02-26,7.299190998077393,7.627807858288203,7.249063461603473,7.530337205831791,89207100
2020-02-27,7.045766830444336,7.388308477725866,6.931586458408914,7.162732154380045,100112100
2020-02-28,7.056905746459961,7.118173086999815,6.8563940155498235,7.006777680938628,89095300
