loss,mae,val_loss,val_mae
0.014406280592083931,0.08441975712776184,0.010752078145742416,0.09714718908071518
0.004505956079810858,0.04842417314648628,0.0015605553053319454,0.03229928016662598
0.0028563402593135834,0.039520084857940674,0.004613304510712624,0.06060922518372536
0.0025600085500627756,0.037336938083171844,0.007214418612420559,0.07852580398321152
0.002634021220728755,0.0372532494366169,0.008275977335870266,0.08514153957366943
0.0020319903269410133,0.033069316297769547,0.005969431716948748,0.0706024244427681
0.0028173404280096292,0.038414619863033295,0.001241997117176652,0.029105568304657936
0.001875030342489481,0.030693043023347855,0.0018498045392334461,0.03630463406443596
0.0015494084218516946,0.027873964980244637,0.006868735421448946,0.07719539105892181
0.0014130010968074203,0.028528107330203056,0.0040276446379721165,0.05691584199666977
0.0015504724578931928,0.02829817868769169,0.005237169098109007,0.06629437208175659
0.0013973636087030172,0.02646198868751526,0.00464386073872447,0.06185594201087952
0.0013415466528385878,0.026689955964684486,0.006231982260942459,0.07344295084476471
0.0012244782410562038,0.025360792875289917,0.0050874995067715645,0.06536967307329178
0.0012083151377737522,0.025281988084316254,0.009333792142570019,0.09187927097082138
0.0011239808518439531,0.024389706552028656,0.008357619866728783,0.08646103739738464
0.0011559756239876151,0.024810828268527985,0.005875117611140013,0.071254663169384
