loss,mae,val_loss,val_mae
0.08750701695680618,0.2130172848701477,0.0067160120233893394,0.06939498335123062
0.006897259503602982,0.06325835734605789,0.001686692237854004,0.032712820917367935
0.005520928185433149,0.05687716230750084,0.0012812208151444793,0.027771692723035812
0.004844953306019306,0.05162273347377777,0.008426959626376629,0.08580577373504639
0.004433501977473497,0.04940713569521904,0.0015571280382573605,0.03121965192258358
0.004405294544994831,0.05061895400285721,0.002079758560284972,0.036327749490737915
0.003887824947014451,0.045567985624074936,0.004037921316921711,0.0559958778321743
0.003538645338267088,0.044019684195518494,0.002327820984646678,0.03932258114218712
0.00364305661059916,0.043682489544153214,0.0014958156971260905,0.030128635466098785
0.0036802785471081734,0.04431268945336342,0.002895563608035445,0.04520457237958908
0.0031102080829441547,0.04248425364494324,0.004874653648585081,0.06327969580888748
0.003348110243678093,0.04259144514799118,0.0013155118795111775,0.028205519542098045
0.002958772936835885,0.039347343146800995,0.002025555819272995,0.03652801737189293
